id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
"7129300520","20141013T000000",221900,3,1,1180,5650,"1",0,0,3,7,1180,0,1955,0,"98178",47.5112,-122.257,1340,5650
"1423800210","20140923T000000",230000,3,1,1640,7187,"1",0,0,3,7,1640,0,1966,0,"98058",47.455,-122.182,1340,8346
"2125049131","20140729T000000",680000,3,1.75,1620,5500,"1",0,0,3,7,1110,510,1950,0,"98112",47.6393,-122.308,2100,6500
"5318101765","20140602T000000",985000,3,1.75,1670,5400,"2",0,0,5,8,1670,0,1912,0,"98112",47.635,-122.284,2100,5400
"6624300110","20140623T000000",375000,4,2.5,1870,7471,"2",0,0,3,8,1870,0,1990,0,"98055",47.4314,-122.204,2020,8912
"5160700035","20150422T000000",431000,2,1.5,1300,4000,"1.5",0,0,4,6,1300,0,1900,0,"98144",47.5937,-122.301,1480,4000
"1472800220","20140909T000000",463000,3,2.5,2190,17108,"2",0,0,3,8,2190,0,1991,0,"98019",47.7321,-121.964,2400,14040
"3755000090","20141006T000000",350000,3,1.75,1320,10500,"1",0,0,3,7,1320,0,1966,0,"98034",47.7267,-122.226,1310,10500
"0259601010","20150414T000000",485000,3,1,1250,7200,"1",0,0,3,7,1250,0,1964,0,"98008",47.6342,-122.12,1430,7400
"7939000090","20140929T000000",355000,4,1.75,2040,15000,"1",0,0,4,7,1360,680,1967,0,"98092",47.3107,-122.189,2310,15000
"2675600025","20150327T000000",603500,3,1.75,2140,7280,"1",0,0,3,7,1070,1070,1910,0,"98117",47.6993,-122.377,2280,8400
"5700000975","20140819T000000",860000,5,1.75,2510,6000,"1.5",0,0,5,8,2010,500,1920,0,"98144",47.5798,-122.292,2240,5000
"9407150360","20150306T000000",259875,5,2.5,2200,6250,"2",0,0,3,7,2200,0,1996,0,"98038",47.3675,-122.021,1850,6091
"8146300015","20140716T000000",685000,4,2.5,2170,8680,"1",0,0,3,7,1220,950,1959,0,"98004",47.6078,-122.192,2010,8680
"9406570300","20140930T000000",382500,4,2.5,2980,8786,"2",0,0,3,8,2980,0,2003,0,"98038",47.378,-122.03,2980,6718
"7518500301","20150301T000000",490000,3,1,1180,2250,"1.5",0,0,3,7,1180,0,1902,0,"98117",47.6779,-122.377,1320,5100
"3739500096","20150126T000000",229000,3,2,1540,6000,"1",0,0,4,6,1540,0,1953,0,"98155",47.7372,-122.307,1490,8213
"3739500096","20150505T000000",430000,3,2,1540,6000,"1",0,0,4,6,1540,0,1953,0,"98155",47.7372,-122.307,1490,8213
"0267020090","20140818T000000",580000,5,2.5,3110,15783,"1",0,0,3,8,1720,1390,1974,0,"98052",47.6301,-122.103,2550,12220
"0534000195","20141113T000000",510000,3,1.75,1370,6700,"1",0,0,3,8,1370,0,1940,2012,"98117",47.6982,-122.362,1180,6694
"5469502700","20140508T000000",489990,5,2.25,2440,20828,"1.5",0,0,4,8,2440,0,1975,0,"98042",47.3762,-122.158,2670,14472
"7010700110","20140916T000000",440000,3,2.25,1760,1800,"2",0,0,3,7,1330,430,1983,0,"98199",47.6579,-122.394,1150,4575
"8106300090","20150428T000000",479950,3,2.5,2810,4984,"1",0,0,3,9,1750,1060,2006,0,"98055",47.4461,-122.209,2810,5711
"0225069013","20140623T000000",806000,4,2.5,2500,206474,"1",0,0,3,10,2500,0,1997,0,"98053",47.6778,-121.994,3680,208652
"1685800100","20140624T000000",875000,4,2.5,3220,22588,"2",0,0,3,10,3220,0,1996,0,"98077",47.7311,-122.055,3220,22922
"0293800870","20140911T000000",710800,3,2.5,2880,36820,"2",0,0,3,10,2880,0,1992,0,"98077",47.766,-122.044,3190,36820
"7852190580","20150210T000000",565000,3,2.5,2700,6037,"2",0,0,3,8,2700,0,2004,0,"98065",47.5376,-121.879,2740,6054
"5636000210","20150223T000000",359999,5,3,2680,9624,"2",0,0,3,7,1870,810,1995,0,"98010",47.3279,-122.006,1860,9921
"1623301185","20150123T000000",625000,3,1.75,1780,4500,"1",0,0,4,7,920,860,1922,0,"98117",47.6827,-122.362,1360,4000
